smiles,hit1_short,hit2_short,inchi_key,compound_set,error_type
CNc1nccc2ccc3cn(C)cc3c12,cx1298a,cx0353a,MSMSBXYBPXPEDC-UHFFFAOYSA-N,cx0353a-cx1298a,NoSynthesisRoute
Cc1cn2c(c1O)-c1c(N)ccc(F)c1OCC(F)(F)C2,cx0294a,cx0505a,IREBZKCAAUBPGU-UHFFFAOYSA-N,cx0294a-cx0505a,NoSynthesisRoute
CN[C@H](c1cnn(-c2ccccc2)c1)c1ccc(=O)[nH]n1,cx0632a,cx1135a,DMSOFTVAFCKEDY-OAHLLOKOSA-N,cx0632a-cx1135a,NoSynthesisRoute
OCc1cc2c(c(Nc3ccc(O)cc3)c1O)OCC2,cx0935a,cx0969d,XIZQDAMBIPVMJZ-UHFFFAOYSA-N,cx0969d-cx0935a,NoSynthesisRoute
O=S1(=O)CC[C@]2(C1)NN[C@H](c1nccs1)N2,cx1182a,cx0281a,FBHJHWAHVCAMAH-HTRCEHHLSA-N,cx0281a-cx1182a,NoSynthesisRoute
CN1N[C@H]2[C@H](CCC[C@@H]2NC(N)=O)[C@H]1C(=O)NCc1cccs1,cx0544a,cx0892a,IJHYHZFJXYOGQA-CYDGBPFRSA-N,cx0892a-cx0544a,NoSynthesisRoute
CCCNc1cccc(N[C@@H](C)N)c1,cx1444a,cx0756a,SFSHXZUXGGZRLN-VIFPVBQESA-N,cx1444a-cx0756a,NoSynthesisRoute
CS1(C)N[C@@H](NO)N[C@H]1N[C@@H]1CCC[C@H]1CO,cx1134a,cx0406a,YNUGPORRUYXXJV-SGIHWFKDSA-N,cx1134a-cx0406a,NoSynthesisRoute
Nc1ccc(S(=O)(=O)N[C@H]2CC3=C(O[CH][CH]O3)[C@@H](CO)N2)cc1,cx0289a,cx1379b,IFERQXGJVWKAMM-YPMHNXCESA-N,cx0289a-cx1379b,NoSynthesisRoute
Cn1cc(C(=O)NCS(=O)(=O)c2ncc[nH]2)c2ccccc21,cx0270a,cx1268a,IFJGDXDECFZXKC-UHFFFAOYSA-N,cx0270a-cx1268a,NoSynthesisRoute
COCC(=O)N[C@H]1CC[C@@H](O)CC12CCCCC2,cx1444a,cx0935a,CIPQOZURUVCWIO-NEPJUHHUSA-N,cx0935a-cx1444a,NoSynthesisRoute
N[C@]12CCC3=C1C(=CC=CN3)OC2,cx1372a,cx1305a,ZRMCIUVWUAZRDK-JTQLQIEISA-N,cx1372a-cx1305a,NoSynthesisRoute
CNC(=O)C1=CN(C)N=c2c(C(=O)NC)cccc2=C1,cx0270a,cx0399f,GFWMDXMIJPXVBE-UHFFFAOYSA-N,cx0399f-cx0270a,NoSynthesisRoute
N[C@H]1N[C@H]2CCC[C@@H]2[C@H]2N(CCO)NCN12,cx0477a,cx1203a,LRXYCHULKTTXDP-QEYWKRMJSA-N,cx1203a-cx0477a,NoSynthesisRoute
CCc1nc(C[C@@H]2CC[C@H]3CN(C(=O)c4cccc(F)c4)CC[C@H]3C[C@H]2O)no1,cx0585a,cx0316a,UQIKLGQVBGVCAT-RIVXBTQJSA-N,cx0585a-cx0316a,NoSynthesisRoute
On1cnc2c(Cl)cccc21,cx1305a,cx0894a,AFCUYNSAPSJSMW-UHFFFAOYSA-N,cx0894a-cx1305a,NoSynthesisRoute
O=C1C[C@H](N2CCN[C@H](CC3CCCCC3)C2=O)[C@@H](NC(=O)c2cscn2)CN1,cx0436a,cx0300a,XUUNKUVRUIOYAF-VYDXJSESSA-N,cx0300a-cx0436a,NoSynthesisRoute
c1cc2c(ccc3c[nH]nc32)cn1,cx1288a,cx0756a,KEWAXFKLLZDCDX-UHFFFAOYSA-N,cx0756a-cx1288a,NoSynthesisRoute
C/C=N/[C@]1(N)C[C@H](NC(N)=O)CCc2ccc(Cl)cc21,cx0544a,cx1371a,LYGDWOKYSJFDGU-CYKWSWCBSA-N,cx1371a-cx0544a,NoSynthesisRoute
COCC(=O)N[C@H]1CCCC[C@]12CCC[C@H](CO)C2,cx0692a,cx0969a,IOWPYPUKJIGVJE-KCQAQPDRSA-N,cx0692a-cx0969a,NoSynthesisRoute
